PNR Number,Train Number,Date of Journey,Class of Travel,Quota,Source Station,Destination Station,Booking Date,Current Status,Number of Passengers,Age of Passengers,Booking Channel,Travel Distance,Number of Stations,Travel Time,Train Type,Seat Availability,Special Considerations,Holiday or Peak Season,Waitlist Position,Confirmation Status,Was Waitlisted
PNR0000010962,20797,2054-09-06,3AC,Premium Tatkal,KOAA,BSB,2054-01-05,RAC,1,Child,IRCTC Website,449,13,44,Shatabdi,181,Defense Quota,Yes,0,Confirmed,False
PNR0000010963,50394,2054-09-07,Sleeper,General,PNBE,JHS,2054-01-06,RAC,2,Adult,IRCTC Website,1304,17,46,Rajdhani,392,Senior Citizen,No,0,Confirmed,False
PNR0000010964,98834,2054-09-08,3AC,Ladies,JHS,UMB,2054-01-07,Waitlisted,2,Child,Mobile App,1646,15,40,Shatabdi,213,Senior Citizen,Yes,89,Not Confirmed,True
PNR0000010965,99680,2054-09-09,Sleeper,Ladies,ADI,BBS,2054-01-08,Confirmed,2,Senior Citizen,IRCTC Website,702,4,45,Express,477,Senior Citizen,Yes,0,Confirmed,False
PNR0000010966,83817,2054-09-10,2AC,Tatkal,CNB,SC,2054-01-09,Waitlisted,2,Adult,IRCTC Website,1800,8,25,Rajdhani,180,No Special Consideration,No,140,Not Confirmed,True
PNR0000010967,93667,2054-09-11,1AC,Ladies,ASR,ADI,2054-01-10,Confirmed,2,Senior Citizen,Mobile App,607,10,33,Superfast,195,Defense Quota,Yes,0,Confirmed,False
PNR0000010968,64305,2054-09-12,3AC,Tatkal,JP,LKO,2054-01-11,RAC,4,Senior Citizen,Counter,771,14,47,Express,47,Senior Citizen,Yes,0,Confirmed,False
PNR0000010969,49892,2054-09-13,1AC,General,CNB,LTT,2054-01-12,Confirmed,1,Senior Citizen,IRCTC Website,1736,11,43,Shatabdi,79,Defense Quota,No,0,Confirmed,False
PNR0000010970,11661,2054-09-14,2AC,General,LTT,SBC,2054-01-13,Waitlisted,1,Senior Citizen,Mobile App,482,8,38,Superfast,346,Senior Citizen,No,187,Not Confirmed,True
PNR0000010971,11661,2054-09-15,2AC,Ladies,NDLS,CNB,2054-01-14,Waitlisted,2,Senior Citizen,Counter,527,10,7,Shatabdi,113,Defense Quota,No,78,Not Confirmed,True
PNR0000010972,53730,2054-09-16,2AC,Ladies,BSB,NDLS,2054-01-15,RAC,3,Child,Counter,1168,6,11,Express,403,No Special Consideration,Yes,0,Confirmed,False
PNR0000010973,66592,2054-09-17,Sleeper,General,LTT,BCT,2054-01-16,RAC,1,Adult,Counter,1704,15,26,Express,148,Senior Citizen,No,0,Confirmed,False
PNR0000010974,56911,2054-09-18,1AC,General,SBC,UMB,2054-01-17,Waitlisted,4,Child,Mobile App,1892,15,44,Express,125,Defense Quota,No,87,Not Confirmed,True
PNR0000010975,87711,2054-09-19,2AC,Premium Tatkal,UMB,LTT,2054-01-18,RAC,3,Senior Citizen,IRCTC Website,862,9,11,Shatabdi,170,Defense Quota,No,0,Confirmed,False
PNR0000010976,25493,2054-09-20,2AC,Ladies,LTT,LTT,2054-01-19,RAC,3,Adult,IRCTC Website,1218,8,15,Shatabdi,493,Senior Citizen,No,0,Confirmed,False
PNR0000010977,30762,2054-09-21,3AC,General,CSMT,PNBE,2054-01-20,RAC,2,Adult,IRCTC Website,1469,18,34,Express,96,No Special Consideration,Yes,0,Confirmed,False
PNR0000010978,46232,2054-09-22,Sleeper,General,HWH,JHS,2054-01-21,Waitlisted,4,Adult,Mobile App,152,3,6,Superfast,34,Defense Quota,No,100,Not Confirmed,True
PNR0000010979,56217,2054-09-23,3AC,General,HWH,MAS,2054-01-22,Waitlisted,4,Child,Mobile App,860,15,24,Express,446,Defense Quota,No,181,Not Confirmed,True
PNR0000010980,27350,2054-09-24,Sleeper,Premium Tatkal,JHS,UMB,2054-01-23,Confirmed,4,Senior Citizen,IRCTC Website,244,8,33,Rajdhani,411,Defense Quota,No,0,Confirmed,False
PNR0000010981,86145,2054-09-25,2AC,Premium Tatkal,CNB,NJP,2054-01-24,Waitlisted,4,Adult,IRCTC Website,1650,15,35,Rajdhani,435,Defense Quota,Yes,79,Not Confirmed,True
PNR0000010982,81672,2054-09-26,1AC,Premium Tatkal,LKO,BSB,2054-01-25,Waitlisted,3,Child,Mobile App,1861,13,42,Superfast,135,Defense Quota,No,75,Not Confirmed,True
PNR0000010983,80326,2054-09-27,2AC,Tatkal,UMB,NDLS,2054-01-26,Confirmed,4,Adult,Counter,403,5,43,Shatabdi,383,Defense Quota,No,0,Confirmed,False
PNR0000010984,64899,2054-09-28,1AC,Ladies,BBS,SC,2054-01-27,Confirmed,1,Senior Citizen,Mobile App,1680,14,42,Express,376,Defense Quota,No,0,Confirmed,False
PNR0000010985,28167,2054-09-29,2AC,Ladies,GKP,JU,2054-01-28,Waitlisted,4,Senior Citizen,IRCTC Website,553,3,27,Express,125,No Special Consideration,No,10,Not Confirmed,True
PNR0000010986,72821,2054-09-30,3AC,General,KOAA,GKP,2054-01-29,Confirmed,1,Child,Counter,510,8,25,Superfast,436,Senior Citizen,No,0,Confirmed,False
PNR0000010987,60999,2054-10-01,3AC,Ladies,LKO,NJP,2054-01-30,Waitlisted,5,Child,Mobile App,830,19,40,Superfast,375,No Special Consideration,Yes,184,Not Confirmed,True
PNR0000010988,32904,2054-10-02,1AC,General,JU,ASR,2054-01-31,Waitlisted,5,Adult,IRCTC Website,1892,8,3,Rajdhani,257,No Special Consideration,No,63,Not Confirmed,True
PNR0000010989,90295,2054-10-03,Sleeper,Premium Tatkal,NJP,MMCT,2054-02-01,Waitlisted,1,Senior Citizen,Mobile App,57,6,35,Superfast,321,Senior Citizen,Yes,116,Not Confirmed,True
PNR0000010990,32925,2054-10-04,3AC,Ladies,BSB,GKP,2054-02-02,Waitlisted,5,Senior Citizen,IRCTC Website,219,12,8,Express,462,No Special Consideration,No,26,Not Confirmed,True
PNR0000010991,54660,2054-10-05,2AC,Tatkal,SC,LKO,2054-02-03,Confirmed,5,Child,Mobile App,1867,14,22,Express,362,No Special Consideration,Yes,0,Confirmed,False
PNR0000010992,31400,2054-10-06,2AC,Premium Tatkal,UMB,UMB,2054-02-04,Confirmed,1,Child,Mobile App,1470,8,8,Superfast,251,Senior Citizen,No,0,Confirmed,False
PNR0000010993,16018,2054-10-07,2AC,General,SC,LKO,2054-02-05,Waitlisted,2,Senior Citizen,Mobile App,295,4,41,Superfast,116,Senior Citizen,Yes,148,Not Confirmed,True
PNR0000010994,92822,2054-10-08,2AC,Tatkal,NJP,ASR,2054-02-06,RAC,5,Child,Mobile App,518,15,20,Superfast,299,Senior Citizen,No,0,Confirmed,False
PNR0000010995,78915,2054-10-09,3AC,General,BSB,PNBE,2054-02-07,Waitlisted,5,Senior Citizen,Counter,293,7,41,Superfast,185,No Special Consideration,Yes,49,Not Confirmed,True
PNR0000010996,63668,2054-10-10,2AC,Premium Tatkal,JU,CNB,2054-02-08,Confirmed,2,Senior Citizen,IRCTC Website,946,6,36,Superfast,448,Defense Quota,Yes,0,Confirmed,False
PNR0000010997,25264,2054-10-11,2AC,Premium Tatkal,CNB,CSMT,2054-02-09,Confirmed,4,Senior Citizen,Mobile App,117,14,9,Superfast,26,No Special Consideration,No,0,Confirmed,False
PNR0000010998,93503,2054-10-12,2AC,General,UMB,NJP,2054-02-10,RAC,1,Adult,Mobile App,417,17,10,Express,148,Senior Citizen,Yes,0,Confirmed,False
PNR0000010999,55816,2054-10-13,Sleeper,Ladies,LTT,CSMT,2054-02-11,Confirmed,4,Senior Citizen,Counter,1353,19,19,Express,469,Senior Citizen,Yes,0,Confirmed,False
PNR0000011000,20036,2054-10-14,3AC,Tatkal,JHS,NJP,2054-02-12,Confirmed,3,Child,IRCTC Website,1479,15,11,Shatabdi,259,Senior Citizen,No,0,Confirmed,False
PNR0000011001,46212,2054-10-15,2AC,Ladies,BCT,JHS,2054-02-13,RAC,2,Senior Citizen,Mobile App,135,2,27,Rajdhani,253,Defense Quota,Yes,0,Confirmed,False
PNR0000011002,22001,2054-10-16,1AC,Ladies,LKO,JP,2054-02-14,Waitlisted,2,Senior Citizen,Counter,1872,13,18,Rajdhani,371,Senior Citizen,No,127,Not Confirmed,True
PNR0000011003,23356,2054-10-17,3AC,Tatkal,SC,SBC,2054-02-15,Confirmed,3,Adult,Mobile App,1007,16,2,Superfast,122,Defense Quota,No,0,Confirmed,False
PNR0000011004,38046,2054-10-18,1AC,Tatkal,SBC,ASR,2054-02-16,RAC,1,Adult,IRCTC Website,1394,14,18,Superfast,88,No Special Consideration,Yes,0,Confirmed,False
PNR0000011005,29918,2054-10-19,3AC,General,MMCT,NJP,2054-02-17,Confirmed,5,Adult,Mobile App,1706,8,6,Superfast,276,Senior Citizen,Yes,0,Confirmed,False
PNR0000011006,50370,2054-10-20,3AC,Tatkal,KOAA,MMCT,2054-02-18,Waitlisted,3,Senior Citizen,Mobile App,832,4,14,Shatabdi,169,Defense Quota,No,127,Not Confirmed,True
PNR0000011007,78304,2054-10-21,1AC,Tatkal,KOAA,JP,2054-02-19,Confirmed,2,Senior Citizen,IRCTC Website,1392,9,11,Superfast,287,No Special Consideration,Yes,0,Confirmed,False
PNR0000011008,99412,2054-10-22,2AC,Premium Tatkal,CNB,ADI,2054-02-20,Confirmed,3,Senior Citizen,IRCTC Website,1651,12,10,Shatabdi,443,Senior Citizen,Yes,0,Confirmed,False
PNR0000011009,16273,2054-10-23,1AC,Ladies,MAS,UMB,2054-02-21,RAC,5,Senior Citizen,Counter,1002,11,47,Shatabdi,260,Defense Quota,No,0,Confirmed,False
PNR0000011010,60904,2054-10-24,1AC,Premium Tatkal,KOAA,MAS,2054-02-22,Confirmed,4,Senior Citizen,Mobile App,126,19,2,Express,348,No Special Consideration,No,0,Confirmed,False
PNR0000011011,25906,2054-10-25,1AC,General,MMCT,ASR,2054-02-23,Confirmed,5,Senior Citizen,Counter,742,6,14,Rajdhani,449,No Special Consideration,Yes,0,Confirmed,False
PNR0000011012,37802,2054-10-26,2AC,Premium Tatkal,CNB,ADI,2054-02-24,Waitlisted,3,Adult,Counter,1628,9,45,Express,329,No Special Consideration,No,52,Not Confirmed,True
PNR0000011013,23592,2054-10-27,1AC,Ladies,PNBE,SBC,2054-02-25,Confirmed,4,Child,Mobile App,1938,2,46,Rajdhani,209,Senior Citizen,Yes,0,Confirmed,False
PNR0000011014,65300,2054-10-28,Sleeper,Tatkal,SBC,NJP,2054-02-26,RAC,3,Child,Mobile App,327,10,29,Express,476,No Special Consideration,Yes,0,Confirmed,False
PNR0000011015,74621,2054-10-29,3AC,Tatkal,ADI,NJP,2054-02-27,Waitlisted,5,Adult,IRCTC Website,1079,16,7,Express,47,Senior Citizen,Yes,104,Not Confirmed,True
PNR0000011016,72060,2054-10-30,Sleeper,General,BCT,JP,2054-02-28,Confirmed,3,Child,Mobile App,322,11,32,Superfast,409,Senior Citizen,No,0,Confirmed,False
PNR0000011017,69951,2054-10-31,2AC,Ladies,MMCT,UMB,2054-03-01,Waitlisted,4,Child,IRCTC Website,1294,10,24,Express,475,Defense Quota,No,64,Not Confirmed,True
PNR0000011018,77324,2054-11-01,2AC,Tatkal,BCT,BSB,2054-03-02,Waitlisted,1,Senior Citizen,IRCTC Website,1718,11,23,Superfast,60,Defense Quota,Yes,192,Not Confirmed,True
PNR0000011019,42501,2054-11-02,2AC,Ladies,JU,GKP,2054-03-03,Waitlisted,5,Senior Citizen,IRCTC Website,83,10,26,Superfast,6,No Special Consideration,No,58,Not Confirmed,True
PNR0000011020,18639,2054-11-03,3AC,Premium Tatkal,HWH,MAS,2054-03-04,Waitlisted,5,Senior Citizen,Counter,327,19,9,Shatabdi,73,Senior Citizen,Yes,84,Not Confirmed,True
PNR0000011021,10049,2054-11-04,Sleeper,Premium Tatkal,BSB,BSB,2054-03-05,Confirmed,3,Senior Citizen,Counter,435,9,28,Rajdhani,304,Defense Quota,Yes,0,Confirmed,False
PNR0000011022,27173,2054-11-05,1AC,Ladies,JU,ASR,2054-03-06,Confirmed,2,Senior Citizen,Counter,135,18,22,Express,454,Defense Quota,No,0,Confirmed,False
PNR0000011023,83123,2054-11-06,3AC,Tatkal,LKO,JU,2054-03-07,Waitlisted,3,Adult,Mobile App,1460,10,17,Superfast,204,No Special Consideration,Yes,45,Not Confirmed,True
PNR0000011024,56869,2054-11-07,2AC,General,JHS,NDLS,2054-03-08,Waitlisted,3,Child,IRCTC Website,147,10,14,Shatabdi,95,No Special Consideration,No,79,Not Confirmed,True
PNR0000011025,47131,2054-11-08,2AC,Premium Tatkal,MAS,CSMT,2054-03-09,Waitlisted,3,Senior Citizen,IRCTC Website,500,17,19,Shatabdi,148,No Special Consideration,No,26,Not Confirmed,True
PNR0000011026,17172,2054-11-09,Sleeper,Tatkal,SBC,BBS,2054-03-10,RAC,1,Senior Citizen,Counter,132,5,16,Shatabdi,140,No Special Consideration,No,0,Confirmed,False
PNR0000011027,50927,2054-11-10,1AC,Ladies,MAS,JP,2054-03-11,Waitlisted,2,Child,Counter,798,18,14,Rajdhani,186,Defense Quota,No,92,Not Confirmed,True
PNR0000011028,66856,2054-11-11,2AC,General,HWH,CNB,2054-03-12,Waitlisted,2,Adult,IRCTC Website,690,3,13,Shatabdi,439,Senior Citizen,No,114,Not Confirmed,True
PNR0000011029,48533,2054-11-12,2AC,Premium Tatkal,KOAA,CSMT,2054-03-13,Waitlisted,5,Child,Mobile App,173,12,44,Express,218,Senior Citizen,Yes,28,Not Confirmed,True
PNR0000011030,98559,2054-11-13,3AC,Tatkal,LTT,KOAA,2054-03-14,Waitlisted,2,Child,Counter,1500,12,45,Rajdhani,192,Defense Quota,No,187,Not Confirmed,True
PNR0000011031,43280,2054-11-14,1AC,Ladies,GKP,SC,2054-03-15,RAC,2,Adult,Counter,732,19,17,Superfast,47,No Special Consideration,No,0,Confirmed,False
PNR0000011032,61441,2054-11-15,1AC,Premium Tatkal,CNB,NJP,2054-03-16,Confirmed,5,Senior Citizen,IRCTC Website,1055,3,8,Superfast,399,Senior Citizen,No,0,Confirmed,False
PNR0000011033,75227,2054-11-16,Sleeper,Tatkal,SC,UMB,2054-03-17,Waitlisted,5,Senior Citizen,IRCTC Website,503,16,35,Rajdhani,371,Senior Citizen,No,199,Not Confirmed,True
PNR0000011034,49446,2054-11-17,2AC,Ladies,MMCT,MAS,2054-03-18,Waitlisted,3,Child,Counter,370,19,29,Express,46,Defense Quota,No,21,Not Confirmed,True
PNR0000011035,77496,2054-11-18,3AC,Ladies,SBC,ASR,2054-03-19,Confirmed,3,Senior Citizen,Mobile App,715,3,42,Express,419,No Special Consideration,Yes,0,Confirmed,False
PNR0000011036,47878,2054-11-19,3AC,Premium Tatkal,BBS,MMCT,2054-03-20,Waitlisted,4,Child,Mobile App,1636,10,41,Express,459,No Special Consideration,No,159,Not Confirmed,True
PNR0000011037,55391,2054-11-20,1AC,Tatkal,LKO,GKP,2054-03-21,Waitlisted,1,Child,IRCTC Website,1947,4,2,Express,350,Senior Citizen,Yes,83,Not Confirmed,True
PNR0000011038,76753,2054-11-21,Sleeper,Ladies,JHS,PNBE,2054-03-22,Confirmed,1,Child,IRCTC Website,1547,7,39,Shatabdi,136,No Special Consideration,No,0,Confirmed,False
PNR0000011039,78710,2054-11-22,Sleeper,Ladies,CSMT,ADI,2054-03-23,Confirmed,2,Adult,Counter,1248,6,9,Express,300,Senior Citizen,Yes,0,Confirmed,False
PNR0000011040,22032,2054-11-23,3AC,Tatkal,CSMT,NDLS,2054-03-24,Waitlisted,2,Child,Mobile App,699,18,38,Rajdhani,92,Senior Citizen,No,157,Not Confirmed,True
PNR0000011041,66089,2054-11-24,1AC,Premium Tatkal,HWH,BCT,2054-03-25,RAC,4,Child,Mobile App,571,5,24,Express,118,Senior Citizen,Yes,0,Confirmed,False
PNR0000011042,16840,2054-11-25,3AC,Ladies,PNBE,JU,2054-03-26,RAC,2,Child,Counter,103,7,14,Shatabdi,68,Defense Quota,No,0,Confirmed,False
PNR0000011043,73470,2054-11-26,1AC,Tatkal,SC,MAS,2054-03-27,RAC,3,Senior Citizen,Counter,1692,11,32,Rajdhani,100,Defense Quota,Yes,0,Confirmed,False
PNR0000011044,76651,2054-11-27,Sleeper,Tatkal,MMCT,PNBE,2054-03-28,Confirmed,2,Child,Counter,435,4,13,Shatabdi,331,Defense Quota,No,0,Confirmed,False
PNR0000011045,42554,2054-11-28,3AC,Tatkal,MMCT,UMB,2054-03-29,Confirmed,3,Child,Mobile App,1610,4,13,Express,364,Senior Citizen,No,0,Confirmed,False
PNR0000011046,79885,2054-11-29,1AC,Tatkal,HWH,BSB,2054-03-30,Waitlisted,2,Child,Counter,727,2,38,Superfast,317,Defense Quota,No,158,Not Confirmed,True
PNR0000011047,81925,2054-11-30,2AC,Ladies,LTT,JP,2054-03-31,RAC,1,Adult,Mobile App,1128,2,47,Shatabdi,359,Defense Quota,No,0,Confirmed,False
PNR0000011048,88159,2054-12-01,Sleeper,General,SC,JHS,2054-04-01,RAC,5,Adult,Mobile App,854,5,34,Express,410,Senior Citizen,No,0,Confirmed,False
PNR0000011049,60948,2054-12-02,3AC,Tatkal,HWH,NDLS,2054-04-02,Waitlisted,4,Adult,Counter,283,8,10,Shatabdi,481,No Special Consideration,No,58,Not Confirmed,True
PNR0000011050,63188,2054-12-03,Sleeper,General,BCT,UMB,2054-04-03,Confirmed,5,Adult,Counter,536,11,31,Shatabdi,365,Defense Quota,Yes,0,Confirmed,False
PNR0000011051,37743,2054-12-04,Sleeper,General,LKO,MAS,2054-04-04,RAC,5,Senior Citizen,Counter,1438,4,6,Superfast,457,Senior Citizen,Yes,0,Confirmed,False
PNR0000011052,86409,2054-12-05,2AC,General,ADI,ADI,2054-04-05,RAC,5,Adult,IRCTC Website,113,15,30,Rajdhani,299,Defense Quota,Yes,0,Confirmed,False
PNR0000011053,18147,2054-12-06,1AC,General,JU,MMCT,2054-04-06,Waitlisted,5,Adult,Mobile App,223,10,26,Superfast,128,Senior Citizen,Yes,148,Not Confirmed,True
PNR0000011054,56917,2054-12-07,3AC,Tatkal,JU,ASR,2054-04-07,RAC,4,Adult,IRCTC Website,1018,4,27,Superfast,360,Senior Citizen,Yes,0,Confirmed,False
PNR0000011055,67836,2054-12-08,2AC,Ladies,LKO,MAS,2054-04-08,RAC,1,Senior Citizen,Counter,985,4,28,Express,51,Defense Quota,No,0,Confirmed,False
PNR0000011056,22880,2054-12-09,1AC,Ladies,BBS,BSB,2054-04-09,Waitlisted,4,Adult,IRCTC Website,591,2,3,Rajdhani,340,Senior Citizen,No,46,Not Confirmed,True
PNR0000011057,93001,2054-12-10,2AC,Ladies,LTT,PNBE,2054-04-10,RAC,2,Adult,Counter,1388,14,8,Rajdhani,376,Defense Quota,No,0,Confirmed,False
PNR0000011058,46220,2054-12-11,1AC,Premium Tatkal,BSB,LTT,2054-04-11,Confirmed,1,Child,IRCTC Website,956,7,24,Rajdhani,403,No Special Consideration,No,0,Confirmed,False
PNR0000011059,34156,2054-12-12,2AC,Ladies,CNB,MAS,2054-04-12,Confirmed,1,Child,Mobile App,306,9,12,Rajdhani,65,No Special Consideration,No,0,Confirmed,False
PNR0000011060,19124,2054-12-13,1AC,Ladies,LTT,JP,2054-04-13,Confirmed,1,Child,Counter,694,14,20,Superfast,288,Defense Quota,Yes,0,Confirmed,False
PNR0000011061,46843,2054-12-14,3AC,Tatkal,MAS,ADI,2054-04-14,RAC,3,Child,Mobile App,187,5,18,Shatabdi,292,Defense Quota,No,0,Confirmed,False
PNR0000011062,68321,2054-12-15,1AC,General,UMB,PNBE,2054-04-15,RAC,5,Child,IRCTC Website,224,11,31,Shatabdi,332,Senior Citizen,Yes,0,Confirmed,False
PNR0000011063,29645,2054-12-16,3AC,Premium Tatkal,BSB,JU,2054-04-16,RAC,2,Adult,Counter,511,5,22,Express,354,Senior Citizen,Yes,0,Confirmed,False
PNR0000011064,30187,2054-12-17,Sleeper,Ladies,CNB,BBS,2054-04-17,Waitlisted,2,Child,Counter,1362,8,10,Express,284,No Special Consideration,No,36,Not Confirmed,True
PNR0000011065,27565,2054-12-18,3AC,Premium Tatkal,BCT,JHS,2054-04-18,RAC,2,Adult,IRCTC Website,474,13,12,Rajdhani,386,Defense Quota,Yes,0,Confirmed,False
PNR0000011066,25118,2054-12-19,2AC,Ladies,NDLS,MAS,2054-04-19,RAC,1,Adult,Mobile App,183,15,6,Superfast,196,Defense Quota,No,0,Confirmed,False
PNR0000011067,40936,2054-12-20,Sleeper,Tatkal,JU,BSB,2054-04-20,RAC,3,Senior Citizen,Mobile App,1762,12,43,Shatabdi,388,No Special Consideration,No,0,Confirmed,False
PNR0000011068,92249,2054-12-21,3AC,Premium Tatkal,JU,HWH,2054-04-21,RAC,2,Senior Citizen,Mobile App,1351,6,31,Express,260,No Special Consideration,No,0,Confirmed,False
PNR0000011069,77712,2054-12-22,1AC,General,SBC,ASR,2054-04-22,Confirmed,3,Child,Mobile App,1291,7,4,Shatabdi,361,Senior Citizen,Yes,0,Confirmed,False
PNR0000011070,51509,2054-12-23,Sleeper,General,BCT,BBS,2054-04-23,RAC,4,Adult,Mobile App,236,11,10,Shatabdi,161,Senior Citizen,No,0,Confirmed,False
PNR0000011071,69065,2054-12-24,1AC,Premium Tatkal,UMB,LKO,2054-04-24,RAC,3,Child,IRCTC Website,444,6,24,Rajdhani,367,Defense Quota,Yes,0,Confirmed,False
PNR0000011072,44930,2054-12-25,2AC,Tatkal,LTT,UMB,2054-04-25,RAC,3,Child,Mobile App,982,16,32,Superfast,443,Defense Quota,Yes,0,Confirmed,False
PNR0000011073,19874,2054-12-26,3AC,General,NDLS,NDLS,2054-04-26,Waitlisted,3,Adult,IRCTC Website,1929,5,22,Superfast,408,Senior Citizen,No,183,Not Confirmed,True
PNR0000011074,98621,2054-12-27,2AC,Tatkal,BCT,SC,2054-04-27,Waitlisted,2,Senior Citizen,Mobile App,392,17,22,Shatabdi,220,Defense Quota,Yes,120,Not Confirmed,True
PNR0000011075,56638,2054-12-28,2AC,Tatkal,GKP,CSMT,2054-04-28,Waitlisted,2,Adult,Counter,1768,9,26,Rajdhani,214,Senior Citizen,No,101,Not Confirmed,True
PNR0000011076,84760,2054-12-29,2AC,Tatkal,KOAA,KOAA,2054-04-29,Confirmed,3,Senior Citizen,IRCTC Website,1612,3,30,Shatabdi,180,Defense Quota,No,0,Confirmed,False
PNR0000011077,33404,2054-12-30,1AC,General,KOAA,JP,2054-04-30,RAC,2,Senior Citizen,Mobile App,1699,9,13,Rajdhani,351,Defense Quota,Yes,0,Confirmed,False
PNR0000011078,34705,2054-12-31,1AC,General,SBC,CSMT,2054-05-01,Waitlisted,1,Adult,Mobile App,839,5,9,Express,91,Senior Citizen,Yes,161,Not Confirmed,True
PNR0000011079,58282,2055-01-01,Sleeper,General,SC,ASR,2054-05-02,Waitlisted,3,Child,Mobile App,1875,8,2,Rajdhani,59,No Special Consideration,Yes,154,Not Confirmed,True
PNR0000011080,40641,2055-01-02,2AC,Ladies,LTT,NDLS,2054-05-03,RAC,4,Senior Citizen,Mobile App,957,16,36,Rajdhani,191,Defense Quota,Yes,0,Confirmed,False
PNR0000011081,25220,2055-01-03,3AC,Tatkal,ADI,JU,2054-05-04,RAC,5,Child,IRCTC Website,98,13,29,Superfast,395,No Special Consideration,Yes,0,Confirmed,False
PNR0000011082,37407,2055-01-04,1AC,Premium Tatkal,NDLS,BBS,2054-05-05,RAC,5,Child,IRCTC Website,1350,5,3,Rajdhani,210,No Special Consideration,Yes,0,Confirmed,False
PNR0000011083,44792,2055-01-05,1AC,Ladies,ADI,BBS,2054-05-06,RAC,3,Adult,Counter,1710,11,7,Express,28,Senior Citizen,Yes,0,Confirmed,False
PNR0000011084,68637,2055-01-06,Sleeper,Premium Tatkal,NDLS,ADI,2054-05-07,RAC,3,Child,Counter,1379,14,7,Superfast,184,No Special Consideration,Yes,0,Confirmed,False
PNR0000011085,35817,2055-01-07,2AC,Tatkal,JP,SC,2054-05-08,Confirmed,1,Senior Citizen,Mobile App,479,17,43,Express,274,No Special Consideration,No,0,Confirmed,False
PNR0000011086,78086,2055-01-08,2AC,General,CNB,PNBE,2054-05-09,Waitlisted,5,Child,Mobile App,765,11,31,Superfast,379,No Special Consideration,No,153,Not Confirmed,True
PNR0000011087,11323,2055-01-09,1AC,Premium Tatkal,JP,BSB,2054-05-10,RAC,3,Adult,Mobile App,1148,8,30,Shatabdi,191,No Special Consideration,Yes,0,Confirmed,False
PNR0000011088,26695,2055-01-10,3AC,Premium Tatkal,KOAA,ASR,2054-05-11,RAC,3,Child,Counter,1262,16,47,Rajdhani,167,No Special Consideration,Yes,0,Confirmed,False
PNR0000011089,24304,2055-01-11,2AC,General,SBC,CSMT,2054-05-12,Confirmed,5,Senior Citizen,Counter,800,6,11,Shatabdi,100,Defense Quota,No,0,Confirmed,False
PNR0000011090,14743,2055-01-12,1AC,Premium Tatkal,UMB,JU,2054-05-13,Waitlisted,1,Senior Citizen,Counter,1236,9,38,Superfast,137,No Special Consideration,Yes,31,Not Confirmed,True
PNR0000011091,26086,2055-01-13,1AC,Ladies,LTT,JU,2054-05-14,Waitlisted,3,Child,Counter,1752,19,30,Express,56,Senior Citizen,No,15,Not Confirmed,True
PNR0000011092,60204,2055-01-14,Sleeper,General,CSMT,NJP,2054-05-15,Waitlisted,4,Senior Citizen,IRCTC Website,115,5,14,Shatabdi,280,Defense Quota,Yes,191,Not Confirmed,True
PNR0000011093,91776,2055-01-15,1AC,Premium Tatkal,MMCT,BSB,2054-05-16,Confirmed,3,Child,Mobile App,1960,3,41,Superfast,258,Defense Quota,No,0,Confirmed,False
PNR0000011094,75221,2055-01-16,Sleeper,Tatkal,JP,BSB,2054-05-17,Waitlisted,4,Child,Counter,305,10,7,Rajdhani,105,Defense Quota,Yes,34,Not Confirmed,True
PNR0000011095,82043,2055-01-17,2AC,Tatkal,BBS,CSMT,2054-05-18,RAC,4,Adult,IRCTC Website,320,11,3,Express,394,No Special Consideration,No,0,Confirmed,False
PNR0000011096,54207,2055-01-18,2AC,General,NDLS,GKP,2054-05-19,Waitlisted,5,Adult,IRCTC Website,966,8,32,Express,276,Senior Citizen,No,56,Not Confirmed,True
PNR0000011097,68418,2055-01-19,2AC,General,KOAA,HWH,2054-05-20,Confirmed,3,Adult,Counter,856,13,12,Express,164,Senior Citizen,Yes,0,Confirmed,False
PNR0000011098,58674,2055-01-20,3AC,General,LTT,HWH,2054-05-21,Waitlisted,3,Adult,Counter,760,11,16,Rajdhani,370,Defense Quota,Yes,45,Not Confirmed,True
PNR0000011099,86427,2055-01-21,1AC,Ladies,NJP,CSMT,2054-05-22,RAC,5,Senior Citizen,Mobile App,59,11,24,Express,288,No Special Consideration,No,0,Confirmed,False
PNR0000011100,32410,2055-01-22,2AC,Tatkal,JU,SC,2054-05-23,Confirmed,3,Senior Citizen,Counter,1883,14,21,Shatabdi,245,Senior Citizen,No,0,Confirmed,False
PNR0000011101,31081,2055-01-23,3AC,Ladies,HWH,LKO,2054-05-24,Waitlisted,1,Senior Citizen,Counter,52,5,46,Rajdhani,266,No Special Consideration,Yes,39,Not Confirmed,True
PNR0000011102,89605,2055-01-24,2AC,Ladies,BSB,LTT,2054-05-25,RAC,1,Child,Mobile App,1214,14,16,Express,411,No Special Consideration,No,0,Confirmed,False
PNR0000011103,45679,2055-01-25,3AC,Tatkal,MAS,LKO,2054-05-26,Waitlisted,3,Adult,Mobile App,830,13,24,Superfast,201,No Special Consideration,Yes,69,Not Confirmed,True
PNR0000011104,16156,2055-01-26,2AC,Ladies,SBC,LTT,2054-05-27,Waitlisted,5,Adult,Counter,1505,16,42,Express,333,Senior Citizen,No,76,Not Confirmed,True
